ID,Species,Collection_date,Port_where_fish_was_landed,StatD,Quadrant,Grid,TL_mm,WT_kg,Fin.clip,Stock_wild,Sex,Mat,d15N_14N,d13C_12C,CN,d13corr
68074,CHS,6/21/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,650,2.72,ADCWT,Stock,M,I,11.4481761,-24.45898097,3.7077708,-24.10828788
68076,CHS,6/21/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,580,1.98,ADCWT,Stock,F,I,9.995802563,-23.85290846,3.713852955,-23.49619403
68078,CHS,6/21/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,814,5.33,ADCWT,Stock,F,M,10.68104435,-22.71594022,3.262897156,-22.71594022
68101,LAT,6/21/15,PORT WASHINGTON CLEANING STATION,WM5,Southwest,1701,748,3.45,NONE,Wild,F,M,12.4697885,-24.16813816,3.804998752,-23.7211894
68102,COS,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,489,0.94,NONE,Unknown,F,I,9.637973081,-23.86198126,3.227724804,-23.86198126
68102,COS,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,489,0.94,NONE,Unknown,F,I,9.826638863,-23.85699827,3.234009748,-23.85699827
68103,RBT,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,481,1.08,NONE,Unknown,M,I,9.90157367,-22.62801128,3.343755123,-22.62801128
68103,RBT,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,481,1.08,NONE,Unknown,M,I,10.77133787,-24.26783357,3.839308845,-23.78691781
68104,CHS,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,545,1.6,ADCWT,Stock,M,I,10.24568397,-23.79258371,3.392405784,-23.79258371
68105,LAT,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,661,2.89,NONE,Wild,F,M,12.44354397,-26.6490177,5.502399873,-24.52164183
68106,CHS,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,815,5.13,NONE,Wild,F,M,10.82874058,-23.53083562,3.468716055,-23.53083562
68107,RBT,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,616,2.33,NONE,Unknown,F,I,9.616633046,-22.90856942,3.36589646,-22.90856942
68108,RBT,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,730,3.27,NONE,Unknown,F,I,10.98978441,-23.81694999,3.638713417,-23.53462371
68117,CHS,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,434,0.79,NONE,Wild,N,N,10.24310787,-23.70874252,3.366499089,-23.70874252
68124,LAT,6/19/15,SHEBOYGAN SOUTH PIER,WM5,Southwest,1501,525,1.54,ADCWT,Stock,F,I,12.13329612,-25.56504305,4.541025122,-24.38942818
